timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1713551613328,1348,DemoQA,200,OK,Usuarios 1-3,text,true,,3827,240,7,7,https://demoqa.com/elements,450,0,223
1713551613328,450,DemoQA-0,301,Moved Permanently,Usuarios 1-3,text,true,,391,120,7,7,http://demoqa.com/elements,450,0,223
1713551613779,897,DemoQA-1,200,OK,Usuarios 1-3,text,true,,3436,120,7,7,https://demoqa.com/elements,897,0,666
1713551612727,1951,DemoQA,200,OK,Usuarios 1-1,text,true,,3827,240,7,7,https://demoqa.com/elements,804,0,582
1713551612727,804,DemoQA-0,301,Moved Permanently,Usuarios 1-1,text,true,,391,120,7,7,http://demoqa.com/elements,804,0,582
1713551613533,1145,DemoQA-1,200,OK,Usuarios 1-1,text,true,,3436,120,7,7,https://demoqa.com/elements,1145,0,912
1713551613027,1652,DemoQA,200,OK,Usuarios 1-2,text,true,,3827,240,7,7,https://demoqa.com/elements,538,0,296
1713551613027,538,DemoQA-0,301,Moved Permanently,Usuarios 1-2,text,true,,391,120,7,7,http://demoqa.com/elements,538,0,296
1713551613566,1113,DemoQA-1,200,OK,Usuarios 1-2,text,true,,3436,120,7,7,https://demoqa.com/elements,1113,0,879
1713551613627,1194,DemoQA,200,OK,Usuarios 1-4,text,true,,3827,240,7,7,https://demoqa.com/elements,476,0,232
1713551613627,476,DemoQA-0,301,Moved Permanently,Usuarios 1-4,text,true,,391,120,7,7,http://demoqa.com/elements,476,0,232
1713551614104,717,DemoQA-1,200,OK,Usuarios 1-4,text,true,,3436,120,7,7,https://demoqa.com/elements,717,0,480
1713551613927,1167,DemoQA,200,OK,Usuarios 1-5,text,true,,3827,240,8,8,https://demoqa.com/elements,466,0,237
1713551613927,466,DemoQA-0,301,Moved Permanently,Usuarios 1-5,text,true,,391,120,8,8,http://demoqa.com/elements,466,0,237
1713551614394,700,DemoQA-1,200,OK,Usuarios 1-5,text,true,,3436,120,8,8,https://demoqa.com/elements,700,0,467
1713551614678,453,QAForms,200,OK,Usuarios 1-1,text,true,,3824,234,9,9,https://demoqa.com/forms,223,0,0
1713551614678,223,QAForms-0,301,Moved Permanently,Usuarios 1-1,text,true,,388,117,9,9,http://demoqa.com/forms,223,0,0
1713551614902,229,QAForms-1,200,OK,Usuarios 1-1,text,true,,3436,117,9,9,https://demoqa.com/forms,229,0,0
1713551614676,461,QAForms,200,OK,Usuarios 1-3,text,true,,3824,234,9,9,https://demoqa.com/forms,229,0,0
1713551614676,229,QAForms-0,301,Moved Permanently,Usuarios 1-3,text,true,,388,117,9,9,http://demoqa.com/forms,229,0,0
1713551614905,232,QAForms-1,200,OK,Usuarios 1-3,text,true,,3436,117,9,9,https://demoqa.com/forms,232,0,0
1713551614679,469,QAForms,200,OK,Usuarios 1-2,text,true,,3824,234,9,9,https://demoqa.com/forms,237,0,0
1713551614679,237,QAForms-0,301,Moved Permanently,Usuarios 1-2,text,true,,388,117,9,9,http://demoqa.com/forms,237,0,0
